t_name	SRR072893	SRR072915
FBtr0088035	6517.760254	8381.533203
FBtr0088007	1517.984741	119.88027199999999
FBtr0087782	924.2353519999999	514.2167969999999
FBtr0087676	0.747332	1799.4862059999998
FBtr0087575	691.745239	1270.966431
FBtr0339970	1082.024658	2005.2239989999998
FBtr0087123	2124.9423829999996	4837.398926
FBtr0087105	1647.116089	3659.875
FBtr0332947	441.05609100000004	800.335388
FBtr0345627	371.681641	671.745422
FBtr0086947	1174.199585	2925.7502440000003
FBtr0086515	589.4738769999999	1098.35083
FBtr0086533	1181.4257810000001	134.547791
FBtr0086536	1805.8574219999998	3730.1992189999996
FBtr0086273	1098.293091	2130.525391
FBtr0086274	947.85968	1635.9941410000001
FBtr0086268	2.104609	4668.350098
FBtr0071592	666.62085	981.773132
FBtr0071593	935.275513	1543.461914
FBtr0071708	565.687988	784.2676389999999
FBtr0071855	855.2318730000001	2790.5234379999997
FBtr0071935	1470.583862	3015.092773
FBtr0071911	1428.657959	292.788025
FBtr0071897	1440.241821	2078.446533
FBtr0071994	835.8435059999999	279.007996
FBtr0072188	1093.497925	1802.3955079999998
FBtr0072173	1236.1719970000001	2947.042725
FBtr0072175	444.838104	816.662354
FBtr0072185	1226.353149	2547.985107
FBtr0100231	4871.613281	8397.803711
FBtr0072406	1963.4746089999999	3035.091797
FBtr0345321	450.843903	1449.523682
FBtr0070155	417.950592	1555.741577
FBtr0070148	793.0300900000001	1443.823608
FBtr0070290	1379.9880369999998	2570.9770510000003
FBtr0070801	812.58429	1830.592041
FBtr0070822	510.325104	673.356567
FBtr0070823	1560.049561	1748.519409
FBtr0070915	1184.4316410000001	2635.883545
FBtr0070980	725.9537349999999	1134.2092289999998
FBtr0071135	1676.7341310000002	2951.22583
FBtr0071345	234.57183799999999	959.532898
FBtr0071360	1184.65625	2397.1254879999997
FBtr0073421	601.908813	766.929382
FBtr0346384	579.5938110000001	737.20575
FBtr0073471	1006.7330929999999	686.9717410000001
FBtr0300828	980.28717	1653.831665
FBtr0330403	1501.439087	2891.555664
FBtr0074238	1115.098877	310.086884
FBtr0074311	538.6887820000001	2007.87854
FBtr0074406	363.36911000000003	916.5437009999999
FBtr0074657	0.0	1252.776123
